0,29
1,23
2,30
3,28
4,29
5,27
6,20
7,26
8,28
9,26
10,26
11,30
12,24
13,21
14,24
15,26
16,24
17,28
18,20
19,25
20,20
21,21
22,26
23,28
24,21
25,30
26,27
27,29
28,26
29,29
30,30
31,24
32,26
33,27
34,29
35,26
36,22
37,23
38,26
39,29
40,25
41,25
42,24
43,20
44,29
45,25
46,27
47,29
48,25
49,30
50,29
51,26
52,25
53,26
54,23
55,30
56,25
57,21
58,26
59,27
60,29
61,29
62,24
63,23
64,21
65,29
66,20
67,26
68,24
69,29
70,26
71,29
72,20
73,23
74,20
75,23
76,23
77,28
78,21
79,29
80,28
81,26
82,30
83,28
84,23
85,30
86,29
87,26
88,25
89,30
90,28
91,24
92,21
93,27
94,27
95,21
96,21
97,23
98,21
99,24
100,23
101,20
102,25
103,20
104,24
105,21
106,22
107,24
108,27
109,23
110,25
111,28
112,22
113,28
114,26
115,30
116,24
117,24
118,26
119,23
120,29
121,22
122,26
123,26
124,24
125,24
126,20
127,25
128,21
129,24
130,28
131,26
132,23
133,29
134,20
135,21
136,27
137,20
138,30
139,28
140,24
141,21
142,20
143,27
144,26
145,25
146,21
147,20
148,23
149,21
150,24
151,30
152,22
153,26
154,28
155,28
156,22
157,24
158,22
159,24
160,21
161,29
162,29
163,22
164,26
165,21
166,27
167,21
168,22
169,23
170,30
171,29
172,28
173,20
174,20
175,26
176,22
177,23
178,26
179,25
180,23
181,26
182,20
183,20
184,24
185,26
186,24
187,20
188,22
189,23
190,22
191,23
192,22
193,29
194,26
195,30
196,26
197,21
198,23
199,25
200,23
201,29
202,22
203,24
204,26
205,25
206,27
207,26
208,29
209,29
210,22
211,26
212,29
213,28
214,30
215,28
216,21
217,26
218,22
219,29
220,22
221,21
222,27
223,24
224,27
225,30
226,27
227,20
228,23
229,30
230,30
231,30
232,22
233,20
234,22
235,27
236,22
237,28
238,28
239,25
240,26
241,23
242,22
243,21
244,30
245,20
246,28
247,24
248,25
249,30
250,24
251,26
252,22
253,25
254,30
255,27
256,25
257,21
258,21
259,21
260,22
261,30
262,26
263,30
264,22
265,21
266,21
267,29
268,27
269,22
270,23
271,29
272,30
273,28
274,24
275,24
276,20
277,27
278,28
279,22
280,21
281,30
282,27
283,24
284,21
285,30
286,28
287,26
288,28
289,21
290,28
291,22
292,26
293,28
294,20
295,29
296,30
297,26
298,25
299,23
300,22
301,27
302,20
303,22
304,28
305,23
306,24
307,22
308,28
309,23
310,26
311,21
312,25
313,27
314,26
315,25
316,27
317,26
318,21
319,29
320,20
321,28
322,28
323,26
324,27
325,21
326,27
327,23
328,23
329,20
330,20
331,27
332,22
333,21
334,29
335,26
336,24
337,23
338,25
339,21
340,27
341,20
342,29
343,28
344,23
345,24
346,25
347,25
348,22
349,25
350,20
351,26
352,21
353,29
354,27
355,22
356,24
357,26
358,28
359,21
360,21
361,28
362,22
363,22
364,24
365,24
366,30
367,27
368,26
369,25
370,21
371,24
372,24
373,29
374,28
375,28
376,28
377,25
378,27
379,26
380,30
381,22
382,27
383,24
384,24
385,21
386,23
387,25
388,25
389,27
390,29
391,30
392,30
393,20
394,27
395,21
396,24
397,24
398,24
399,28
400,24
401,21
402,30
403,26
404,21
405,26
406,30
407,26
408,26
409,21
410,24
411,28
412,29
413,29
414,21
